ms,read
165007,101167
165050,101166
165093,101172
165136,101177
165179,101193
165222,101207
165265,101220
165308,101235
165351,101246
165394,101251
165437,101257
165480,101265
165523,101266
165566,101272
165609,101267
165652,101261
165695,101253
165738,101250
165781,101230
165824,101215
165867,101201
165910,101163
165953,101133
165996,101117
166039,101113
166082,101121
166125,101116
166168,101130
166211,101126
166254,101154
166297,101183
166340,101210
166383,101232
166426,101244
166469,101267
166512,101284
166555,101285
166598,101292
166641,101292
166684,101290
166727,101281
166770,101269
166813,101250
166856,101220
166899,101198
166942,101159
166985,101114
167028,101086
167071,101069
167114,101066
167157,101074
167200,101084
167243,101078
167286,101106
167329,101142
167372,101193
167415,101222
167458,101250
167501,101277
167544,101296
167587,101300
167630,101307
167673,101310
167716,101303
167759,101295
167802,101284
167845,101252
167888,101218
167931,101187
167974,101149
168017,101108
168060,101087
168103,101095
168146,101092
168189,101102
168232,101107
168275,101123
168318,101150
168361,101184
168404,101208
168447,101244
168490,101275
168533,101291
168576,101303
168619,101306
168662,101300
168705,101298
168748,101290
168791,101282
168834,101254
168877,101230
168920,101209
168963,101175
169006,101143
169049,101120
169092,101112
169135,101104
169178,101107
169221,101107
169264,101114
169307,101140
169350,101172
169393,101206
169436,101225
169479,101258
169522,101279
169565,101297
169608,101314
169651,101299
169694,101297
169737,101280
169780,101271
169823,101249
169866,101209
169909,101168
169952,101131
169995,101112
170038,101099
170081,101094
170124,101095
170167,101100
170210,101109
170253,101136
170296,101174
170339,101205
170382,101235
170425,101265
170468,101291
170511,101293
170554,101303
170597,101308
170640,101303
170683,101296
170726,101274
170769,101237
170812,101207
170855,101174
170898,101136
170941,101102
170984,101091
171027,101092
171070,101099
171113,101124
171156,101146
171199,101174
171242,101201
171285,101222
171328,101243
171371,101269
171414,101286
171457,101289
171500,101291
171543,101273
171586,101267
171629,101254
171672,101231
171715,101217
171758,101201
171801,101187
171844,101162
171887,101140
171930,101153
171973,101150
172016,101149
172059,101149
172102,101157
172145,101166
172188,101190
172231,101211
172274,101221
172317,101233
172360,101245
172403,101253
172446,101262
172489,101267
172532,101263
172575,101253
172618,101246
172661,101235
172704,101218
172747,101208
172790,101176
172833,101148
172876,101137
172919,101129
172962,101125
173005,101129
173048,101142
